----------------------------
2020-11-20 11:41:30.963184
Resolution: 800 x 450
FPS: 60
Codec: huj
----------------------------
[11-43-12-533823]  153: empty - if nr 1 passed
[11-43-12-533823]  154: empty - if nr 2 passed
[11-43-12-533823]  155: empty - if nr 3 passed
[11-43-12-533823]  156: empty - if nr 4 passed
[11-43-13-204865]  157: fist - if nr 1 passed
[11-43-13-204865]  158: fist - if nr 2 passed
[11-43-13-204865]  159: fist - if nr 3 passed
[11-43-13-204865]  160: fist - if nr 4 passed
[11-43-13-204865]  161: empty - if nr 1 passed
[11-43-13-204865]  162: empty - if nr 2 passed
[11-43-13-204865]  163: empty - if nr 3 passed
[11-43-13-204865]  164: empty - if nr 4 passed
[11-43-14-709646]  165: fist - if nr 1 passed
[11-43-14-709646]  166: fist - if nr 2 passed
[11-43-14-709646]  167: fist - if nr 3 passed
[11-43-14-709646]  168: fist - if nr 4 passed
[11-43-14-709646]  169: fist - if nr 5 passed
[11-43-14-709646]  170: fist - if nr 6 passed
[11-43-14-709646]  171: Fist
[11-43-23-436374]  172: empty - if nr 1 passed
[11-43-23-436374]  173: empty - if nr 2 passed
[11-43-24-301362]  174: secret_gesture - if nr 1 passed
[11-43-24-301362]  175: peace - if nr 1 passed
[11-43-24-301362]  176: peace - if nr 2 passed
[11-43-24-301362]  177: empty - if nr 1 passed
[11-43-24-301362]  178: empty - if nr 2 passed
[11-43-24-940975]  179: secret_gesture - if nr 1 passed
[11-43-24-940975]  180: peace - if nr 1 passed
[11-43-24-940975]  181: peace - if nr 2 passed
[11-43-29-185910]  182: secret_gesture - if nr 1 passed
[11-43-29-185910]  183: peace - if nr 1 passed
[11-43-29-185910]  184: peace - if nr 2 passed
[11-43-29-185910]  185: empty - if nr 1 passed
[11-43-31-361583]  186: secret_gesture - if nr 1 passed
[11-43-31-361583]  187: peace - if nr 1 passed
[11-43-31-377172]  188: peace - if nr 2 passed
[11-43-40-690961]  189: empty - if nr 1 passed
[11-43-40-690961]  190: empty - if nr 2 passed
[11-43-41-292924]  191: secret_gesture - if nr 1 passed
[11-43-41-292924]  192: peace - if nr 1 passed
[11-43-41-292924]  193: peace - if nr 2 passed
[11-43-43-261311]  194: secret_gesture - if nr 1 passed
[11-43-43-261311]  195: peace - if nr 1 passed
[11-43-43-261311]  196: peace - if nr 2 passed
[11-43-43-261311]  197: empty - if nr 1 passed
[11-43-43-261311]  198: empty - if nr 2 passed
[11-43-45-675452]  199: secret_gesture - if nr 1 passed
[11-43-45-675452]  200: peace - if nr 1 passed
[11-43-45-675452]  201: peace - if nr 2 passed
[11-43-45-675452]  202: empty - if nr 1 passed
----------------------------
2020-11-20 11:46:04.072734
Resolution: 800 x 450
FPS: 60
Codec: huj
----------------------------
[11-46-4-72734]  1: empty - if nr 1 passed
[11-46-4-72734]  2: empty - if nr 2 passed
[11-46-4-72734]  3: empty - if nr 3 passed
[11-46-4-72734]  4: empty - if nr 4 passed
[11-46-4-72734]  5: empty = if nr 5 passed
[11-46-4-72734]  6: Empty
[11-46-4-72734]  7: fist - if nr 1 passed
[11-46-4-72734]  8: fist - if nr 2 passed
[11-46-12-653533]  9: swipe left - if nr 1 passed
[11-46-12-653533]  10: swipe left - if nr 2 passed
[11-46-12-653533]  11: swipe left - if nr 3 passed
[11-46-12-653533]  12: swipe left - if nr 4 passed
[11-46-12-653533]  13: swipe left - if nr 5 passed
[11-46-12-653533]  14: swipe left - if nr 6 passed
[11-46-12-653533]  15: Swipe left
[11-46-12-653533]  16: empty - if nr 1 passed
[11-46-12-653533]  17: empty - if nr 2 passed
[11-46-12-653533]  18: empty - if nr 3 passed
[11-46-12-653533]  19: empty - if nr 4 passed
[11-46-12-653533]  20: fist - if nr 1 passed
[11-46-12-653533]  21: fist - if nr 2 passed
[11-46-12-653533]  22: fist - if nr 3 passed
[11-46-12-653533]  23: fist - if nr 4 passed
[11-46-12-653533]  24: empty - if nr 1 passed
[11-46-12-653533]  25: empty - if nr 2 passed
[11-46-12-653533]  26: empty - if nr 3 passed
[11-46-12-653533]  27: empty - if nr 4 passed
